"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS001191","Glendale","Los Angeles County","CA","Glendale Police Department","Police","The Glendale Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2//2024",""
"AOS001192","Glendora","Los Angeles County","CA","Glendora Police Department","Police","The Glendora Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2//2024",""
"AOS001193","Hawthorne","Los Angeles County","CA","Hawthorne Police Department","Police","The Hawthorne Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","","","","","",""
"AOS001194","Huntington Beach","Orange County","CA","Huntington Beach Police Department","Police","The Huntington Beach Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","","","","","",""
"AOS001195","Huntington Park","Los Angeles County","CA","Huntington Park Police Department","Police","The Huntington Park Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2//2024",""
"AOS001196","Inglewood","Los Angeles County","CA","Inglewood Police Department","Police","The Inglewood Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2//2024",""
"AOS001197","Irwindale","Los Angeles County","CA","Irwindale Police Department","Police","The Irwindale Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2//2024",""
"AOS001198","Groveland","Essex County","MA","Groveland Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $12,905.74 to the Groveland Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001199","La Verne","Los Angeles County","CA","La Verne Police Department","Police","The La Verne Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2//2024",""
"AOS001200","Los Angeles","Los Angeles County","CA","Los Angeles Police Department","Police","The Los Angeles Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2/2024",""
"AOS001202","Long Beach","Los Angeles County","CA","Long Beach Police Department","Police","The Long Beach Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2//2024",""
"AOS001203","Monrovia","Los Angeles County","CA","Monrovia Police Department","Police","The Monrovia Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2//2024",""
"AOS001204","Monterey Park","Los Angeles County","CA","Monterey Park Police Department","Police","The Monterey Park Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2//2024",""
"AOS001205","Pasadena","Los Angeles County","CA","Pasadena Police Department","Police","The Pasadena Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2//2024",""
"AOS001206","Pomona","Los Angeles County","CA","Pomona Police Department","Police","The Pomona Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2//2024",""
"AOS001207","Redondo Beach","Los Angeles County","CA","Redondo Beach Police Department","Police","The Redondo Beach Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2//2024",""
"AOS001208","Santa Ana","Orange County","CA","Santa Ana Police Department","Police","The Santa Ana Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","","","","","",""
"AOS001209","Hamilton","Essex County","MA","Hamilton Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $31,437 to the Hamilton Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001210","Santa Monica","Los Angeles County","CA","Santa Monica Police Department","Police","The Santa Monica Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2//2024",""
"AOS001211","South Gate","Los Angeles County","CA","South Gate Police Department","Police","The South Gate Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2//2024",""
"AOS001212","Torrance","Los Angeles County","CA","Torrance Police Department","Police","The Torrance Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","https://www.muckrock.com/foi/los-angeles-county-358/lacris-member-list-2024-164197/#file-1225545","","","","10/2//2024",""
"AOS001213","Los Angeles","Los Angeles County","CA","University of California Los Angeles Police Department","Police","The University of California Los Angeles Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","University","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","","","","","",""
"AOS001214","West Covina","Los Angeles County","CA","West Covina Police Department","Police","The West Covina Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","","","","","",""
"AOS001215","Whittier","Los Angeles County","CA","Whittier Police Department","Police","The Whittier Police Department has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Municipal","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","","","","","",""
"AOS001216","Sacramento","Sacramento County","CA","California Highway Patrol","State Police/Highway Patrol","The California Highway Patrol has access to the Los Angeles County Regional Identification System (LACRIS) face recognition database.","Statewide","Face Recognition","LACRIS","https://www.documentcloud.org/documents/22049482-agencies-with-access-to-lacris-facial-recognition-system-on-11142020","","LACRIS","","11/14/2020","https://lacris.org/LACRIS%20Facial%20Recognition%20Policy%20v_2019.pdf","","LACRIS","","09/01/2021","","","","","",""
"AOS001217","Bedford","Cuyahoga County","OH","Bedford Police Department","Police","The Bedford Police Department purchased Axon body-worn cameras in 2021.","Municipal","Body-worn Cameras","Axon","https://www.facebook.com/bedford.police.1/photos/pb.100069122083545.-2207520000../3092928330951317/?type=3","","Bedford Police Department Facebook page","","12/13/2021","https://bedfordohio.org/bedford-to-purchase-dash-cams-body-cameras-for-police-force/","","Bedford Tribune","","2/17/2021","","","","","",""
"AOS001218","Orange Cove","Fresno County","CA","Orange Cove Police Department","Police","The Orange Cover Police Department uses Axon body-worn cameras.","Municipal","Body-worn Cameras","Axon","https://cityoforangecove.com/wp-content/uploads/2020/01/RELEASE_20190702_T131845_Orange_Cove_PD_Policy_Manual-1-1-4.pdf","","Orange Cove Police department manual.","","07/02/2019","https://www.facebook.com/photo.php?fbid=332716092300252&set=pb.100066855911957.-2207520000..&type=3","","Orange Cove Police Department Facebook page","","5/7/2022","","","","","",""
"AOS001219","Orange","Orange County","CA","Orange Police Department","Police","The Orange Police Department entered into a 5-year contract with Axon for body-worn cameras, in-car cameras, and related services for $1.6 million in 2020.","Municipal","Body-worn Cameras","Axon","https://citydocs.cityoforange.org/WebLink/edoc/244008275/07.01%20Police%20Department%20Camera%20System.pdf?dbid=0&repo=CityofOrange","","Orange City Council","","03/10/2020","https://citydocs.cityoforange.org/OrangePD/DocView.aspx?id=68377&dbid=0&repo=OrangePD&cr=1","","Orange Police Department","","possibly 2020 or 2021","https://www.facebook.com/photo.php?fbid=292324259710289&set=pb.100067981504315.-2207520000..&type=3","","Orange Police Department Facebook","","03/19/2022",""
"AOS001220","Hatfield","Hampshire County","MA","Hatfield Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $5,638 to the Hatfield Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001221","Orland","Glenn County","CA","Orland Police Department","Police","The Orland Police Department began using WatchGuard body-worn cameras in 2015, partially funded by the Paskenta Band of Nomlaki Indians.","Municipal","Body-worn Cameras","WatchGuard","https://www.cityoforland.com/wp-content/uploads/2021/06/January-20-2015.pdf","","Orland City Council","","1/20/2015","https://www.facebook.com/OrlandPoliceDepartment/photos/pb.100067683677894.-2207520000../2488297581314251/?type=3","","Orland Police Department Facebook","","06/15/2021","https://www.redbluffdailynews.com/2015/10/14/tribe-supports-orland-police/amp/","","Red Bluff Daily News","","10/14/2015",""
"AOS001222","Parkland","Broward County","FL","Broward County Sheriff's Office","Sheriff","The City of Parkland budgeted $98,700 in 2019 and $107,085 in 2020 for two portable license plate readers. They are operated by the Broward County Sheriff's Office, which provides contract police services to the City of Parkland.","County","Automated License Plate Readers","","https://www.cityofparkland.org/DocumentCenter/View/19090/FY-2022-Adopted-Budget-Summaries","","City of Parkland 2022 Adopted Budget Summary","","09/30/2021","https://www.sheriff.org/Administration/Documents/BudgetBooks/FY%202021-2022%20Proposed_Budget.pdf","","Broward County Sheriff's Office","","04/29/2021","","","","","",""
"AOS001223","Atwater","Merced County","CA","Atwater Police Department","Police","The Atwater Police Department equipped 23 officers with Axon body-worn cameras in 2020. The five-year deal cost $105,000.","Municipal","Body-worn Cameras","Axon","https://www.mercedsunstar.com/news/local/community/atwater/article245397880.html","","Merced Sun-Star","","09/01/2020","https://www.facebook.com/photo?fbid=382208997267891&set=pb.100064363824510.-2207520000..","","Atwater Police Facebook page","","05/31/2022","https://www.atwater.org/wp-content/uploads/2020/09/8-31-20-Special-Mtg-Minutes.pdf","","City Of Atwater City Council","","08/31/20",""
"AOS001224","La Verne","Los Angeles County","CA","La Verne Police Department","Police","The La Verne Police Department spent $85,000 on body-worn camera systems in 2021.","Municipal","Body-worn Cameras","Axon","https://www.facebook.com/photo.php?fbid=374569978044827&set=pb.100064754826832.-2207520000..&type=3","","La Verne Police Department Facebook","","05/05/2022","https://www.cityoflaverne.org/Archive/ViewFile/Item/382","","La Verne City Council","","06/21/2021","","","","","",""
"AOS001225","Laguna Beach","Orange County","CA","Laguna Beach Police Department","Police","The Laguna Beach Police Department was authorized to purchase $20,000 worth of body-worn camera replacements from Motorola in August of 2021.","Municipal","Body-worn Cameras","Motorola Solutions","https://lagunabeachcity.granicus.com/GeneratedAgendaViewer.php?event_id=1364&view_id=3","","Laguna Beach City Council","","08/24/2021","https://stunewslaguna.com/9779","","Stu News Laguna","","04/05/2019","https://www.facebook.com/photo.php?fbid=264509759182924&set=pb.100068717063245.-2207520000..&type=3","","Laguna Beach Police Employees' Association","","03/02/2022",""
"AOS001226","Lakeport","Lake County","CA","Lakeport Police Department","Police","The Lakeport Police Department used body-worn cameras as of 2022.","Municipal","Body-worn Cameras","Provision","https://files4.revize.com/lakeportca/agendas%20and%20minutes/2021/2021-06-01%20Agenda%20Packet%20(reduced).pdf","","Lakeport City Council","","06/01/2021","https://www.cityoflakeport.com/Police/Documents/Redact%20-%20LPD%20Policy%20Manual%20Ver.%2022.1.pdf","","Lakeport Police Department","","01/25/2022","https://www.facebook.com/176101292414821/photos/pb.100064241726980.-2207520000../4543186602372913/?type=3","","Lakeport Police Department","","08/13/2021",""
"AOS001227","Lodi","San Joaquin County","CA","Lodi Police Department","Police","Lodi Police Department approved the purhcase of body-worn cameras in 2019.","Municipal","Body-worn Cameras","Axon","https://www.youtube.com/watch?v=rOV4j5n_TRU","","YouTube","","08/12/2020","https://www.facebook.com/photo.php?fbid=390253489815160&set=pb.100064915352991.-2207520000..&type=3","","Lodi Police Department Facebook","","06/12/2022","http://records.lodi.gov/WebLink/DocView.aspx?id=52415&dbid=0&repo=CITY-RECORDS","","Lodi City Council","","07/17/2019",""
"AOS001228","Livingston","Merced County","CA","Livingston Police Department","Police","Livingston Police Department used body-worn cameras as of 2021.","Municipal","Body-worn Cameras","","https://www.facebook.com/photo.php?fbid=220373106908017&set=pb.100068059865822.-2207520000..&type=3","","Livingston Police Department","","12/14/2021","https://www.mercedsunstar.com/news/local/crime/article253144908.html","","Merced Sun-Star","","06/30/2021","","","","","",""
"AOS001229","Oroville","Butte County","CA","Oroville Police Department","Police","The Oroville Police department purchased 20 Vievue body-worn camera in 2018.","Municipal","Body-worn Cameras","Vievue","https://www.cityoforoville.org/home/showpublisheddocument/16650/636688183543230000","","Oroville City Council","","08/07/2018","https://www.facebook.com/orovillepublicsafety/photos/pb.100068921690286.-2207520000../1813301268705074/?type=3","","Oroville Police Department Facebook","","8/30/2018","https://www.cityoforoville.org/home/showpublisheddocument?id=19438","","Oroville Police Department","","12/20/2019",""
"AOS001230","Pacific Grove","Monterey County","CA","Pacific Grove Police Department","Police","Pacific Grove Police department implemented a new body-worn camera system in 2019.","Municipal","Body-worn Cameras","","https://files.cityofpacificgrove.org/Document_Center/Departments/Administrative%20Services/Annual%20Budget%20&%20Financial%20Reports/Budget/fy20-21-adopted-budget-final-11-17-2020.pdf","","Pacific Grove City Council","","9/25/2020","https://www.facebook.com/photo.php?fbid=298000929141703&set=pb.100067953948284.-2207520000..&type=3","","Pacific Grove Police Department Facebook","","03/16/2022","","","","","",""
"AOS001231","Lancaster","Worcester County","MA","Lancaster Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $31,730 to the Lancaster Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001232","Pacifica","San Mateo County","CA","Pacifica Police Department","Police","The Pacifica Police Department began using body-worn cameras in 2017.","Municipal","Body-worn Cameras","","https://www.cityofpacifica.org/departments/police/law-enforcement-resources/technology-information","","City of Pacifica","","","https://www.facebook.com/photo.php?fbid=375222011299341&set=pb.100064346363005.-2207520000..&type=3","","Pacifica Police Department Facebook","","05/27/2022","","","","","",""
"AOS001233","Palm Springs","Riverside County","CA","Palm Springs Police Department","Police","The Palm Springs Police Department began using body-worn cameras in 2020.","Municipal","Body-worn Cameras","Motorola","https://www.palmspringsca.gov/Home/ShowDocument?id=76316","","Palm Springs City Council","","07/09/2020","https://www.palmspringsca.gov/home/showpublisheddocument?id=71321#page=387&zoom=auto,-19,763","","Palm Springs Police Department","","08/24/2020","https://www.facebook.com/photo.php?fbid=346968730804355&set=pb.100064736914586.-2207520000..&type=3","","Palm Springs Police Department Facebook","","03/27/2022",""
"AOS001234","Oceanside","San Diego County","CA","Oceanside Police Department","Police","The Oceanside City Council spent $1,890,000 on a 5-year contract in 2020 with Axon for 225 body-worn cameras for 228 sworn officers.","Municipal","Body-worn Cameras","Axon","https://www.sandiegouniontribune.com/communities/north-county/oceanside/story/2020-09-06/oceanside-spending-nearly-2-million-on-police-body-cameras","","San Diego Union Tribune","","09/06/2020","https://www.facebook.com/photo.php?fbid=392009176296494&set=pb.100064622442341.-2207520000..&type=3","","Oceanside Police Department Facebook","","06/19/2022","","","","","",""
"AOS001235","Angier","Harnett County","NC","Angier Police Department","Police","The Angier Police Department purchased 16 Axon body-worn cameras and docks for $18,000 in 2019.","Municipal","Body-worn Cameras","Axon","https://www.facebook.com/AngierPolice/photos/1347567479093519","","Angier Police Department Facebook page","","04/05/2022","https://www.angier.org/sites/g/files/vyhlif251/f/uploads/2019_audit.pdf","","City of Angier","","06/30/2019","","","","","",""
"AOS001236","Palos Verde Estates","Los Angeles County","CA","Palos Verdes Estates Police Department","Police","The Palos Verde Estates Police Department entered a 5-year contract with WatchGuard for $195,000 for body-worn cameras and in-vehicle cameras in 2022.","Municipal","Body-worn Cameras","WatchGuard","https://www.facebook.com/photo.php?fbid=382002277293742&set=pb.100064519187375.-2207520000..&type=3","","Palos Verde Estates Police Department Facebook","","05/28/2022","https://pvestates.granicus.com/MetaViewer.php?view_id=&event_id=944&meta_id=80647","","Palos Verde Estates City Council","","04/12/2022","","","","","",""
"AOS001242","Warwick","Kent County","RI","Warwick Police Department","Police","The Warwick Police Department received a federal grant for body-worn cameras in 2021 and a state grant for BWCs in 2022.","Municipal","Body-worn Cameras","","https://www.reed.senate.gov/news/releases/new-15-million-federal-grant-will-outfit-hundreds-of-ri-police-with-body-worn-cameras","","Senator Jack Reed","","12/17/2021","https://pbn.com/r-i-police-departments-receive-16m-in-grants-for-body-cameras/","","Providence Business News","","10/13/2022","https://assets-pbn-com.s3.amazonaws.com/2022/10/Statewide-Body-Grant-Awards-PDF.pdf","","Providence Business News","","10/13/2022",""
"AOS001253","Leicester","Worcester County","MA","Leicester Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $40,845 to the Leicester Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001264","Lowell","Middlesex County","MA","Lowell Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $29,935 to the Lowell Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001275","Malden","Middlesex County","MA","Malden Police Department","Police","The State of Massachusettes awarded $95,024 in 2021 and $38,250.00 in FY23 to the Malden Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","https://web.archive.org/web/20221202155105/https://www.mass.gov/news/baker-polito-administration-awards-nearly-25-million-to-expand-body-worn-cameras-to-32-massachusetts-police-departments","","State of Massachusetts","","11/28/2022","","","","","",""
"AOS001286","Manchester by the Sea","Essex County","MA","Manchester by the Sea Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $54,655 to the Manchester by the Sea Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001297","New Bedford","Bristol County","MA","New Bedford Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $249,041 to the New Bedford Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001308","North Brookfield","Worcester County","MA","North Brookfield Police Department","Police","On December 30, 2021 the Massachusetts Governor announced an award of $9,994 to the North Brookfield Police Department for its body-worn camera program.","Municipal","Body-worn Cameras","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","","","","","","",""
"AOS001319","North Reading","Middlesex County","MA","North Reading Police Department","Police","The North Reading Police Department received a $148,195 grant from the state of Massachusetts for body-worn cameras in 2024. The agency was awarded a grant of $101,994.98 in 2021 and $133,994.98 in 2023.","Municipal","Body-worn Cameras","","https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","https://www.mass.gov/news/baker-polito-administration-awards-nearly-25-million-to-expand-body-worn-cameras-to-32-massachusetts-police-departments","","Massachusetts Executive Office of Public Safety and Security","","11/28/2022","https://www.mass.gov/news/healey-driscoll-administration-awards-over-3-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","7/29/24",""
"AOS001330","Peabody","Essex County","MA","Peabody Police Department","Police","The Peabody Police Department launched a body-worn camera program in 2023.","Municipal","Body-worn Cameras","Axon","https://patch.com/massachusetts/peabody/peabody-police-body-camera-program-expected-launch-summer","","Patch","","2/10/2023","https://web.archive.org/web/20211230213250/https://web.archive.org/web/20211230213250/https://www.mass.gov/news/baker-polito-administration-awards-municipalities-over-4-million-for-police-body-worn-cameras","","Massachusetts Executive Office of Public Safety and Security","","12/30/2021","","","","","",""
